Seniority,Member,Party & State,Start of Service
,Tom Cole,"(R), OK",01-03-2003
,Markwayne Mullin,"(R), OK",01-03-2013
,Sharice Davids,"(D), KS",01-03-2019
,Debra Haaland,"(D), NM",01-03-2019
"Total American Indians:
Democrats: 4
Republicans: 4",,,
